Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
,Ms Reference Sans Serif,,,12pt,,,,,
,B   Fm   C7M   G/B   G9,,,12pt,,,,,
,♯11♯13,,,12pt,,,,,
,D♭   A,,,12pt,,,,,
,♯,,,12pt,,,,,
,G♯7   ♭   ♯   ♮,,,12pt,,,,,
,Ms Reference Serif,,,12pt,,,,,
,B   Fm   C7M   G/B   G9,,,12pt,,,,,
,♯11♯13,,,12pt,,,,,
,D♭   A,,,12pt,,,,,
,♯,,,12pt,,,,,
,G♯7   ♭   ♯   ♮,,,12pt,,,,,
,Lucida Sans Unicode,,,12pt,,,,,
,B   Fm   C7M   G/B   G9,,,12pt,,,,,
,♯11♯13,,,12pt,,,,,
,D♭   A,,,12pt,,,,,
,♯,,,12pt,,,,,
,G♯7   ♭   ♯   ♮,,,12pt,,,,,
,Segoe UI Symbol,,,12pt,,,,,
,B   Fm   C7M   G/B   G9,,,12pt,,,,,
,♯11♯13,,,12pt,,,,,
,D♭   A,,,12pt,,,,,
,♯,,,12pt,,,,,
,G♯7   ♭   ♯   ♮,,,12pt,,,,,
,Kozuka Gothic Pr6N,,,12pt,,,,,
,B   Fm   C7M   G/B   G9,,,12pt,,,,,
,♯11♯13,,,12pt,,,,,
,D♭   A,,,12pt,,,,,
,♯,,,12pt,,,,,
,G♯7   ♭   ♯   ♮,,,12pt,,,,,
,Kozuka Gothic Pr6N,,,12pt,,,,,
,(Kerning: metrics / Tracking: manual),,,10pt,,,,,
,C,,,10.5pt,,,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,A,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,D,,,10.5pt,,,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,,,10.5pt,,,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,-0.16em,,,
,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,10.5pt,,-0.15em,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,-0.16em,,,
,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,10.5pt,,-0.15em,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
,ø,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",10pt,2.5pt,0.03em,,,
,E,,,10.5pt,,,,,
,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,-0.15em,,,
,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
,F,,,10.5pt,,,,,
,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,-0.15em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
,E,acorde_NADA,acorde_NADA,10.5pt,,0em,,,
,+,acorde_AUMENTADO_8pt_shift4_5pt_-track,"acorde_AUMENTADO_8pt_shift4,5pt_-track",8pt,4.5pt,-0.2em,,,
,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
,11,acorde_NUMEROS_9pt_-track,acorde_NUMEROS_9pt_-track,9pt,,-0.1em,,,
