Chords,Element Text,Font Size,Baseline Shift,Tracking (letter-spacing)
major,A,10.5pt,,0em
major_sharp,A,10.5pt,,-0.15em
,♯,9pt,,-0.2em
major_flat,A,10.5pt,,-0.21em
,♭,9pt,,-0.23em
minor,A,10.5pt,,0em
,m,8pt,,0em
minor_sharp,A,10.5pt,,-0.15em
,♯,9pt,,-0.2em
,m,8pt,,0em
minor_flat,A,10.5pt,,-0.21em
,♭,9pt,,-0.23em
,m,8pt,,0em
major_7m,A,,,0em
,7,9pt,2.5pt,
major_7m_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,7,9pt,2.5pt,
major_7m_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,7,9pt,2.5pt,
minor_7m,A,,,0em
,m,8pt,,0em
,7,9pt,2.5pt,
minor_7m_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,m,8pt,,0em
,7,9pt,2.5pt,
minor_7m_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,m,8pt,,0em
,7,9pt,2.5pt,
major_6,A,,,0em
,6,9pt,2.5pt,
major_6_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,6,9pt,2.5pt,
major_6_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,6,9pt,2.5pt,
minor_6,A,,,0em
,m,8pt,,0em
,6,9pt,2.5pt,
minor_6_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,m,8pt,,0em
,6,9pt,2.5pt,
minor_6_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,m,8pt,,0em
,6,9pt,2.5pt,
major_9,A,,,0em
,9,9pt,2.5pt,
major_9_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,9,9pt,2.5pt,
major_9_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,9,9pt,2.5pt,
minor_9,A,,,0em
,m,8pt,,0em
,9,9pt,2.5pt,
minor_9_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,m,8pt,,0em
,9,9pt,2.5pt,
minor_9_flat,A,,,-0.21em
,♭,9pt,,-0.23em
,m,8pt,,0em
,9,9pt,2.5pt,
dim,A,,,0em
,º,11pt,1.5pt,
dim_sharp,A,,,-0.15em
,♯,9pt,,-0.2em
,º,11pt,1.5pt,
